,object,relation,subject
295,"warm, low of 70F, high of 90F",friday,mountain view
296,"clear skies, low of 60F, high of 80F",saturday,mountain view
297,"cloudy, low of 80F, high of 100F",sunday,mountain view
298,"drizzle, low of 80F, high of 90F",monday,inglewood
299,"rain, low of 80F, high of 90F",tuesday,inglewood
300,"snow, low of 40F, high of 60F",wednesday,inglewood
301,"cloudy, low of 50F, high of 70F",thursday,inglewood
302,"blizzard, low of 20F, high of 30F",friday,inglewood
303,"blizzard, low of 30F, high of 40F",saturday,inglewood
304,"foggy, low of 90F, high of 100F",sunday,inglewood
305,"cloudy, low of 60F, high of 80F",monday,san mateo
306,"humid, low of 80F, high of 90F",tuesday,san mateo
307,"drizzle, low of 90F, high of 100F",wednesday,san mateo
308,"clear skies, low of 60F, high of 70F",thursday,san mateo
309,"blizzard, low of 40F, high of 50F",friday,san mateo
310,"overcast, low of 90F, high of 100F",saturday,san mateo
311,"humid, low of 80F, high of 100F",sunday,san mateo
312,"snow, low of 20F, high of 30F",monday,mountain view
313,"dry, low of 70F, high of 80F",tuesday,mountain view
314,"frost, low of 30F, high of 50F",wednesday,mountain view
315,"drizzle, low of 60F, high of 80F",thursday,mountain view
316,"windy, low of 90F, high of 100F",friday,mountain view
317,"foggy, low of 60F, high of 80F",saturday,mountain view
318,"snow, low of 50F, high of 70F",sunday,mountain view
319,"dew, low of 50F, high of 70F",monday,danville
320,"foggy, low of 70F, high of 90F",tuesday,danville
321,"stormy, low of 30F, high of 40F",wednesday,danville
322,"cloudy, low of 30F, high of 50F",thursday,danville
323,"frost, low of 30F, high of 40F",friday,danville
324,"windy, low of 40F, high of 60F",saturday,danville
325,"rain, low of 90F, high of 100F",sunday,danville
326,"windy, low of 90F, high of 100F",monday,alhambra
327,"rain, low of 70F, high of 80F",tuesday,alhambra
328,"foggy, low of 60F, high of 70F",wednesday,alhambra
329,"windy, low of 50F, high of 60F",thursday,alhambra
330,"drizzle, low of 60F, high of 80F",friday,alhambra
331,"windy, low of 50F, high of 60F",saturday,alhambra
332,"blizzard, low of 50F, high of 60F",sunday,alhambra
333,"drizzle, low of 20F, high of 30F",monday,atherton
334,"snow, low of 80F, high of 90F",tuesday,atherton
335,"cloudy, low of 90F, high of 100F",wednesday,atherton
336,"drizzle, low of 50F, high of 60F",thursday,atherton
337,"cloudy, low of 50F, high of 60F",friday,atherton
338,"windy, low of 60F, high of 70F",saturday,atherton
339,"misty, low of 80F, high of 100F",sunday,atherton
340,"drizzle, low of 40F, high of 50F",monday,menlo park
341,"raining, low of 50F, high of 60F",tuesday,menlo park
342,"dew, low of 70F, high of 90F",wednesday,menlo park
343,"overcast, low of 70F, high of 80F",thursday,menlo park
344,"rain, low of 80F, high of 100F",friday,menlo park
345,"windy, low of 40F, high of 50F",saturday,menlo park
346,"dry, low of 20F, high of 30F",sunday,menlo park
347,"snow, low of 40F, high of 60F",monday,redwood city
348,"windy, low of 80F, high of 100F",tuesday,redwood city
349,"frost, low of 20F, high of 30F",wednesday,redwood city
350,"overcast, low of 50F, high of 70F",thursday,redwood city
351,"cloudy, low of 90F, high of 100F",friday,redwood city
352,"raining, low of 40F, high of 50F",saturday,redwood city
353,"drizzle, low of 90F, high of 100F",sunday,redwood city
354,"snow, low of 30F, high of 40F",monday,seattle
355,"warm, low of 70F, high of 90F",tuesday,seattle
356,"blizzard, low of 40F, high of 60F",wednesday,seattle
357,"clear skies, low of 40F, high of 50F",thursday,seattle
358,"overcast, low of 80F, high of 90F",friday,seattle
359,"dry, low of 80F, high of 100F",saturday,seattle
360,"snow, low of 80F, high of 90F",sunday,seattle
361,"frost, low of 20F, high of 40F",monday,grand rapids
362,"rain, low of 40F, high of 60F",tuesday,grand rapids
363,"drizzle, low of 30F, high of 40F",wednesday,grand rapids
364,"warm, low of 90F, high of 100F",thursday,grand rapids
365,"foggy, low of 80F, high of 90F",friday,grand rapids
366,"drizzle, low of 70F, high of 80F",saturday,grand rapids
367,"raining, low of 60F, high of 70F",sunday,grand rapids
368,"frost, low of 40F, high of 50F",monday,boston
369,"overcast, low of 80F, high of 90F",tuesday,boston
370,"overcast, low of 30F, high of 50F",wednesday,boston
371,"rain, low of 50F, high of 70F",thursday,boston
372,"raining, low of 30F, high of 40F",friday,boston
373,"blizzard, low of 30F, high of 40F",saturday,boston
374,"cloudy, low of 40F, high of 50F",sunday,boston
375,"clear skies, low of 60F, high of 70F",monday,mountain view
376,"snow, low of 50F, high of 70F",tuesday,mountain view
377,"drizzle, low of 20F, high of 30F",wednesday,mountain view
378,"overcast, low of 70F, high of 90F",thursday,mountain view
379,"hot, low of 50F, high of 70F",friday,mountain view
380,"blizzard, low of 30F, high of 40F",saturday,mountain view
381,"snow, low of 50F, high of 60F",sunday,mountain view
382,"drizzle, low of 40F, high of 60F",monday,durham
383,"windy, low of 70F, high of 80F",tuesday,durham
384,"snow, low of 70F, high of 80F",wednesday,durham
385,"raining, low of 30F, high of 50F",thursday,durham
386,"drizzle, low of 20F, high of 30F",friday,durham
387,"rain, low of 30F, high of 50F",saturday,durham
388,"humid, low of 70F, high of 90F",sunday,durham
389,"dry, low of 50F, high of 60F",monday,exeter
390,"dry, low of 70F, high of 80F",tuesday,exeter
391,"rain, low of 60F, high of 80F",wednesday,exeter
392,"foggy, low of 50F, high of 70F",thursday,exeter
393,"clear skies, low of 50F, high of 70F",friday,exeter
394,"dry, low of 50F, high of 60F",saturday,exeter
395,"humid, low of 70F, high of 80F",sunday,exeter
398,3 miles,distance,Stanford Oval Parking
399,792 Bedoin Street,address,Starbucks
400,no traffic,traffic_info,Starbucks
401,2 miles,distance,Starbucks
403,heavy traffic,traffic_info,Valero
404,5 miles,distance,Valero
405,5677 springer street,address,5677 springer street
406,heavy traffic,traffic_info,5677 springer street
407,6 miles,distance,5677 springer street
408,452 Arcadia Pl,address,Safeway
409,heavy traffic,traffic_info,Safeway
410,6 miles,distance,Safeway
412,no traffic,traffic_info,Stanford Shopping Center
413,3 miles,distance,Stanford Shopping Center
414,578 Arbol Dr,address,Hotel Keen
415,moderate traffic,traffic_info,Hotel Keen
416,2 miles,distance,Hotel Keen
418,moderate traffic,traffic_info,Stanford Express Care
419,1 miles,distance,Stanford Express Care
420,110 Arastradero Rd,address,Papa Johns
421,car collision nearby,traffic_info,Papa Johns
422,6 miles,distance,Papa Johns
423,113 Arbol Dr,address,Jing Jing
424,road block nearby,traffic_info,Jing Jing
425,6 miles,distance,Jing Jing
426,819 Alma St,address,Whole Foods
427,road block nearby,traffic_info,Whole Foods
428,1 miles,distance,Whole Foods
429,9981 Archuleta Ave,address,Peets Coffee
430,car collision nearby,traffic_info,Peets Coffee
431,3 miles,distance,Peets Coffee
433,no traffic,traffic_info,5677 springer street
434,2 miles,distance,5677 springer street
436,heavy traffic,traffic_info,Palo Alto Garage R
437,2 miles,distance,Palo Alto Garage R
439,road block nearby,traffic_info,Teavana
440,6 miles,distance,Teavana
441,6pm,time,dinner
443,Marie,party,dinner
445,the 7th,date,dinner
446,1pm,time,meeting
447,conference room 50,room,meeting
448,management,party,meeting
449,sign the NDA,agenda,meeting
450,the 15th,date,meeting
451,9am,time,football activity
453,Marie,party,football activity
455,the 10th,date,football activity
456,3pm,time,doctor appointment
457,-,room,doctor appointment
458,Jeff,party,doctor appointment
459,-,agenda,doctor appointment
460,the 7th,date,doctor appointment
461,2pm,time,lab appointment
463,Martha,party,lab appointment
465,friday,date,lab appointment
466,10am,time,football activity
468,Jon,party,football activity
470,the 5th,date,football activity
471,3pm,time,football activity
475,the 16th,date,football activity
476,2pm,time,football activity
478,father,party,football activity
481,"overcast, low of 50F, high of 70F",monday,durham
482,"overcast, low of 20F, high of 40F",tuesday,durham
483,"hail, low of 80F, high of 100F",wednesday,durham
484,"cloudy, low of 30F, high of 50F",thursday,durham
485,"snow, low of 50F, high of 60F",friday,durham
486,"overcast, low of 40F, high of 50F",saturday,durham
487,"dew, low of 60F, high of 80F",sunday,durham
488,"hot, low of 60F, high of 80F",monday,redwood city
489,"dry, low of 90F, high of 100F",tuesday,redwood city
490,"hot, low of 60F, high of 70F",wednesday,redwood city
491,"foggy, low of 60F, high of 70F",thursday,redwood city
492,"foggy, low of 30F, high of 50F",friday,redwood city
493,"dry, low of 70F, high of 80F",saturday,redwood city
494,"windy, low of 30F, high of 50F",sunday,redwood city
495,"cloudy, low of 90F, high of 100F",monday,danville
496,"stormy, low of 20F, high of 30F",tuesday,danville
497,"dry, low of 60F, high of 80F",wednesday,danville
498,"snow, low of 90F, high of 100F",thursday,danville
499,"cloudy, low of 60F, high of 70F",friday,danville
500,"rain, low of 60F, high of 80F",saturday,danville
501,"raining, low of 20F, high of 40F",sunday,danville
502,"hail, low of 60F, high of 80F",monday,camarillo
503,"snow, low of 90F, high of 100F",tuesday,camarillo
505,"hail, low of 70F, high of 90F",thursday,camarillo
506,"clear skies, low of 40F, high of 50F",friday,camarillo
507,"misty, low of 70F, high of 80F",saturday,camarillo
508,"stormy, low of 90F, high of 100F",sunday,camarillo
509,"humid, low of 80F, high of 90F",monday,fresno
510,"clear skies, low of 30F, high of 40F",tuesday,fresno
511,"frost, low of 30F, high of 50F",wednesday,fresno
512,"drizzle, low of 20F, high of 30F",thursday,fresno
513,"blizzard, low of 40F, high of 50F",friday,fresno
514,"raining, low of 80F, high of 100F",saturday,fresno
515,"hail, low of 30F, high of 50F",sunday,fresno
516,"overcast, low of 40F, high of 50F",monday,alameda
517,"drizzle, low of 30F, high of 40F",tuesday,alameda
518,"raining, low of 50F, high of 60F",wednesday,alameda
519,"clear skies, low of 40F, high of 60F",thursday,alameda
520,"rain, low of 90F, high of 100F",friday,alameda
521,"frost, low of 50F, high of 60F",saturday,alameda
522,"cloudy, low of 60F, high of 80F",sunday,alameda
523,"rain, low of 30F, high of 50F",monday,new york
524,"foggy, low of 30F, high of 50F",tuesday,new york
525,"dry, low of 20F, high of 30F",wednesday,new york
526,"raining, low of 50F, high of 60F",thursday,new york
527,"raining, low of 50F, high of 60F",friday,new york
528,"hail, low of 30F, high of 50F",saturday,new york
529,"clear skies, low of 80F, high of 90F",sunday,new york
530,"rain, low of 90F, high of 100F",monday,manhattan
531,"misty, low of 90F, high of 100F",tuesday,manhattan
532,"cloudy, low of 20F, high of 40F",wednesday,manhattan
533,"clear skies, low of 60F, high of 80F",thursday,manhattan
534,"clear skies, low of 50F, high of 60F",friday,manhattan
535,"drizzle, low of 50F, high of 60F",saturday,manhattan
536,"misty, low of 50F, high of 70F",sunday,manhattan
537,"windy, low of 40F, high of 60F",monday,mountain view
538,"drizzle, low of 70F, high of 90F",tuesday,mountain view
539,"drizzle, low of 90F, high of 100F",wednesday,mountain view
540,"drizzle, low of 90F, high of 100F",thursday,mountain view
541,"snow, low of 30F, high of 50F",friday,mountain view
542,"windy, low of 80F, high of 90F",saturday,mountain view
543,"rain, low of 90F, high of 100F",sunday,mountain view
544,"dry, low of 30F, high of 40F",monday,los angeles
545,"cloudy, low of 90F, high of 100F",tuesday,los angeles
546,"foggy, low of 40F, high of 60F",wednesday,los angeles
547,"hail, low of 80F, high of 100F",thursday,los angeles
548,"hot, low of 90F, high of 100F",friday,los angeles
549,"hail, low of 50F, high of 70F",saturday,los angeles
550,"dew, low of 20F, high of 40F",sunday,los angeles
551,"rain, low of 40F, high of 50F",monday,corona
552,"snow, low of 50F, high of 70F",tuesday,corona
553,"rain, low of 80F, high of 90F",wednesday,corona
554,"raining, low of 70F, high of 90F",thursday,corona
555,"humid, low of 70F, high of 90F",friday,corona
556,"dry, low of 30F, high of 40F",saturday,corona
557,"hot, low of 80F, high of 90F",sunday,corona
558,"foggy, low of 80F, high of 100F",monday,camarillo
559,"windy, low of 60F, high of 80F",tuesday,camarillo
560,"windy, low of 20F, high of 40F",wednesday,camarillo
561,"stormy, low of 70F, high of 80F",thursday,camarillo
562,"cloudy, low of 40F, high of 50F",friday,camarillo
563,"misty, low of 90F, high of 100F",saturday,camarillo
564,"raining, low of 50F, high of 60F",sunday,camarillo
565,"windy, low of 40F, high of 50F",monday,san mateo
566,"foggy, low of 50F, high of 60F",tuesday,san mateo
567,"raining, low of 50F, high of 60F",wednesday,san mateo
568,"frost, low of 20F, high of 30F",thursday,san mateo
569,"dry, low of 90F, high of 100F",friday,san mateo
570,"dew, low of 60F, high of 80F",saturday,san mateo
571,"misty, low of 90F, high of 100F",sunday,san mateo
572,"clear skies, low of 80F, high of 90F",monday,inglewood
573,"dew, low of 80F, high of 100F",tuesday,inglewood
574,"snow, low of 60F, high of 70F",wednesday,inglewood
575,"clear skies, low of 20F, high of 30F",thursday,inglewood
576,"stormy, low of 20F, high of 40F",friday,inglewood
577,"rain, low of 50F, high of 70F",saturday,inglewood
578,"dry, low of 70F, high of 80F",sunday,inglewood
579,11am,time,yoga activity
581,brother,party,yoga activity
583,the 5th,date,yoga activity
584,4pm,time,dentist appointment
586,Tom,party,dentist appointment
588,friday,date,dentist appointment
589,11am,time,football activity
591,Ana,party,football activity
593,the 4th,date,football activity
594,3pm,time,taking medicine
596,Jeff,party,taking medicine
598,the 3rd,date,taking medicine
599,11am,time,lab appointment
601,mother,party,lab appointment
603,the 10th,date,lab appointment
608,friday,date,dinner
609,2pm,time,yoga activity
611,father,party,yoga activity
613,the 13th,date,yoga activity
614,10am,time,yoga activity
616,Jon,party,yoga activity
618,the 3rd,date,yoga activity
619,"foggy, low of 20F, high of 30F",monday,manhattan
620,"frost, low of 30F, high of 50F",tuesday,manhattan
621,"rain, low of 20F, high of 30F",wednesday,manhattan
622,"cloudy, low of 40F, high of 50F",thursday,manhattan
623,"misty, low of 20F, high of 30F",friday,manhattan
624,"drizzle, low of 70F, high of 80F",saturday,manhattan
625,"dew, low of 20F, high of 30F",sunday,manhattan
626,"drizzle, low of 80F, high of 100F",monday,corona
627,"drizzle, low of 30F, high of 40F",tuesday,corona
628,"foggy, low of 90F, high of 100F",wednesday,corona
629,"clear skies, low of 60F, high of 70F",thursday,corona
630,"drizzle, low of 30F, high of 50F",friday,corona
