inputs,outputs
"what is the weather forecast for exeter_wednesday through tuesday of next week what city do you want to hear the weather for? exeter, please: there will be any blizzard?",there will be no blizzards in exeter next week.
"there will be any hail in danville during the week? there is no hail in the forecast in danville this week.  alright, thanks",you're welcome.
"where does my friend live? jill lives at 347 alta mesa ave. please send me her address on screen and pick a route with no traffic to get there, thank you!","there is moderate traffic on our way but we're just 4 miles away, we should be able to reach there in about 5 minutes"
"what's the temperature going to be this week in what location? alhambra. in alhambra, it will be 80-100f monday to wednesday, 30-40f thursday, 50-70f friday, 60-70f saturday, and 80-100f alhambra_sunday. thanks",no problem!
what will the weather be like tomorrow,what location do you need information about?
car i'd like to eat in a pizza restaurant: which one is the nearest?,the closest pizza restaurant is round table that is Round_Table_distance away in heavy traffic
how cloudy is it going to be for the next week,what city can i tell you about next week's cloudiness?
set a reminder for the 15th at 6pm. conference with the executive team.  okay setting reminder for conference with executive team on the 15th at 6pm. thank you.,glad to help
i'd like to know where i can get some chinese takeout,"there is a chinese restaurant Chef_Chu's_distance away named chef chu's, would you like the address?"
find out if it will drizzle today or tomorrow in downtown chicago there will be no drizzle in downtown chicago today and tomorrow.  thanks.,you are very welcome
"can you set my calendar for football activity at 1pm, the 4th, with tom? okay, setting a reminder for football activity with tom for the 4th at 1pm. thanks. my pleasure driver!  goodbye.",bye for now.
can you find me a shopping center?,i have two listings for shopping centers. which would you like?
what is my address? your home address is home_address thanks set the gps to the avoid the heavy traffic please.,done. there is only home_traffic_info on the route home.
"i need the quickest route to a shopping center.  stanford shopping center is Stanford_Shopping_Center_distance away. please pick a quick route with the least traffic to go there, thank you! picking a quick route to stanford shopping center. thanks.",you're welcome
"schedule a conference at 4pm, on the 1st, with hr",scheduling a conference at 4pm on the 1st with hr
"what time is my meeting, what is the agenda, and who is going? you have three meetings; one at 9 am to meet with management to onboard new members, one at 10 am with boss to meeting_agenda, and one at 4 pm with the executive team to discuss the company picnic.  that will do, thanks.",my pleasure.
"what is the weather forecast in los angeles over the next few days? the weather in los angeles will be snowy on monday and then on los_angeles_sunday, cloudy on tuesday, raining on wednesday, blizzard on thursday, lowest temperature on friday, dry on saturday that's too much info but thank you car! you are welcome. thank you again",no problem
"where is a nearby parking garage? stanford oval parking and webster garage are both close. which is the closest of the two? webster garage is closer. okay so is there any traffic and where is webster garage? webster garage is at 880 ames st and a road block is being reported nearby.  thank you car, set the gps to go there please!",i sent the info on your screen. you're welcome!
i need a route to my friends that avoids heavy traffic.  we're jacks_house_distance away from jack's house but there is a car collision nearby: are you sure you want to go there today? yes i need to get there. what's the address? jacks house is at jacks_house_address.  thanks!,you're welcome!
"where can i go shopping? ravenswood shopping center is Ravenswood_Shopping_Center_distance away. would you give me the address of the location and directions by the quickest route? the address for ravenswood shopping center is 434 arastradero rd. with Ravenswood_Shopping_Center_traffic_info reported.  thank you car, set the gps to go there please!",you're welcome. gps set and we should arrive shortly.
schedule a football activity with jon for the 29th at 6pm.,i will schedule a football activity with jon for the 29th at 6pm.
is there a parking garage around here?,the civic center garage is located 1 mile away; would you like directions?
what's the shortest distance to the nearest rest stop?,the clement hotel is located nearest to you at 1 mile away. would you like directions there?
is there a philz near? just a teavana or starbucks. which one has the closest and quickest route? teavana is just Teavana_distance away and it has moderate traffic while starbuck is farther and has more traffic on its way what is the address for teavana?,the address for teavana is Teavana_address.
"schedule a meeting at 4pm today, with the boss, to discuss dress code okay scheduling meeting with the boss at 4pm today to discuss dress code. thank you.",you are welcome.
set a date for the next tennis match,what is the date of the next tennis match?
"what is the weather for today where would you like the weather forecast for? please find it for exeter. the weather in exeter is gonna be overcast, with low temperature of 20f, and high of 30f cool, thanks",you're welcome!
"is there a rest stop near me? a rest stop is located at 333 arbol dr. Travelers_Lodge_distance away with moderate traffic called the travelers lodge.  let's go there, thank you car!","heading to travelers lodge, you're welcome!"
"give me directions to a coffee shop there is a coffee shop, teavana,  1 mile away ok, please give me an address and directions via a route that avoids all heavy traffic.",i will begin turn by turn directions now.
find what the temperature will be in downtown chicago this weekend. it will be between 30-60f in chicago this weekend. thanks.,anytime.
"what are the directions to the mall the midtown shopping center is Midtown_Shopping_Center_distance away, would you like directions? yes, i need a route with Midtown_Shopping_Center_traffic_info.","i've set the navigation to its address, 338 alester ave, there should be Midtown_Shopping_Center_traffic_info"
navigate to my friend's home please navigating to tom's house. give me the address.,tom's home address is 580 van ness ave.
give me directions to the grocery store,we are Whole_Foods_distance away from whole foods and 3 miles away from sigona farmers market: where do you want to go?
find out if it's supposed to rain where would you like to know about the forecast for rain? i'm interested in fresno.,there is no rain in the forecast.
what's the weather going to be like today and tomorrow what city would you like the weather for? can you tell me if it's going to be hot in mountain view?,today in mountain view the temperature is low. tomorrow will be hot with a high of 90f
"set a reminder for optometrist appointment on the 15th at 6pm with marie. okay, i am scheduling a optometrist appointment with marie on the 15th at 6pm for you now. thanks so much.",glad i can help.
take me home,"sure, can you please give me the address?"
find nearest chinese restaurant,chef chu's is located Chef_Chu's_distance away at 593 arrowhead way.
"get me directions to the nearest coffee shop the nearest coffee shop is Coupa_distance away. would you like the name and address of it? yes, please, and also pick the route to avoid all heavy traffic the name of the nearest coffee shop is coupa and the address is 394 van ness ave. the current Coupa_traffic_info route is now set on your gps. thank you car, let's go there!",you are welcome.
what is the date and time of my opoptometrist_appointment_partyetrist appointment?,"you have three optometrist appointments scheduled. one one saturday at 9am, another on optometrist_appointment_date at 7pm, and one more on tuesday at 9am."
is it raining next week,where would you like me to check for rain?
"car what is the weather going to be like in the next several days for what city would you like that information? carson, please. how will it be the temperature on carson_tuesday?","the temperature in carson on carson_tuesday will be low of 20f, high of 40f"
what's the weather like in downtown chicago,the weather in downtown chicago is windy the low is 60f with a high of 70f.
"what is the weather today in tomorrow in what location would you like the weather? i want to know if it will be humid in alhambra today. no, it will not be humid in alhambra today. it is raining with a low of 90f, and a high of 100f. thank you",you're welcome
"locate any hospitals in the area. the nearest hospital is called palo alto medical foundation and is Palo_Alto_Medical_Foundation_distance away. does it have the least amount of traffic? yes what is the address? palo alto medical foundation is located at Palo_Alto_Medical_Foundation_addressnue. do you want me to set the gps? yes, thanks",navigating there now.
"find nearest coffee shop the nearest coffee shop is palo alto coffee. could you give me the address please, and the distance from here? palo alto cafe is Palo_Alto_Cafe_distance away at 436 alger drive.  thank you. how is the traffic there? there is currently Palo_Alto_Cafe_traffic_info on the route.  ok, please set gps and navigate there.",gps is set and we are now enroute.
please tell me the weather for today and what the weather will be tomorrow what city shall i find the weather forecast for? i want to know if there will be clear skies in downtown chicago.,yes today and tomorrow is supposed to be clear for chicago.
car is it going to snow today,what location are you asking about?
schedule an appointment at 5pm at the end of march with tom. scheduling your appointment with tom at the end of the month at 5 pm. set the appointment to be a lab appointment.,"okay, changing schedule for your appointment to a lab appointment."
"what's the weather going to be today and also what is the weather going to be this week what city are you inquiring about? exeter, will it frost there today?","no, frost is not predicted in exeter today."
is it going to be raining this weekend,what city should i check for rain this weekend in?
"where does my friend live? you have two friends listed; jill and tom, which one? the one closest to my location. jill's house is 5 miles away but there is a road block nearby. tom's house is 8 miles away but we should pass through the same road block well jill is closer so let's go there.  sure, i sent the route on your map thank you car!",anytime!
will it drizzle in san mateo this weekend?,no it's supposed to be hot and sunny on saturday and clear on san_mateo_sunday in san mateo.
"will it be hot in brentwood on brentwood_wednesday? no, on brentwood_wednesday it will be foggy in brentwood thanks.",anytime.
"is there a chance of snow in this weeks weather forecast what city do you want the weather for? san francisco. there is a chance of snow in san francisco on thursday and san_francisco_saturday. i was afraid of that, thank you.","try to have a good week, goodbye."
can i find a chinese restaurant? i have a chinese restaurant listed at Mandarin_Roots_distance away. i need the shortest route. the mandarin roots is located Mandarin_Roots_distance away at 271 springer st.  thanks!,anytime.
find me the closest coffee shop on the map there are palo alto cafe and starbucks Starbucks_distance away: which one do you prefer? which one is it the best location with the quickest route?,palo alto cafe and starbucks both have Starbucks_traffic_info and are the same distance. which do you prefer?
next week in san mateo will there be any frost? there will be frost in san mateo on san_mateo_sunday  thank you very much car!,you're very welcome!
what time is swimming and who is coming with me?,"you have two swimming activities schedules. the first is on monday at 7pm with jon, and the second is on the 10th at 6pm with your mother."
"need directions to the nearest hotel the nearest hotel is the clement hotel, The_Clement_Hotel_distance away.  would you like the address? yes please, with the quickest route. the clement hotel is The_Clement_Hotel_distance away at 657 ames avenue.  set the gps, thanks.",you're welcome. have a great day.
"on what day will be the lowest temperature this weekend in compton? the lowest temperature in compton will be on tuesday, saturday, or compton_sunday. thank you.",you are welcome.
add tennis on wednesday at 5 to my calendar,is that 5 pm on wednesday?
what is my address? your home address is home_address. is there a routh to my home without any traffic?,unfortunately i showing there will be home_traffic_info to your home at 5671 barringer street
tell me the weather forecast for this week where are you wanting to know the weather for? find out if it will be foggy in seattle anytime this week.,it will not be foggy in seattle this week.
"find me a nearby tea or coffee shop the nearest coffee shop is cafe venetia located Cafe_Venetia_distance away. would you like the address? yes and avoid all heavy traffic please.  cafe venetia is located at 269 alger dr, it is Cafe_Venetia_distance away without any traffic please set the gps to this location.",setting gps to 269 alger street.
"schedule my dentist appointment on the 12th what time would you like to schedule your appointment? 10am, please.","okay. scheduled your dentist appointment on the 12th, 10 am."
navigate me to the nearest grocery store,we're Sigona_Farmers_Market_distance away from sigona farmers market: is it be okay to go there?
"check forecast for today and tomorrow what city would you like the forecast for? los angeles. in los angeles, it will rain today with a low of 40f and a high of 60f.  tomorrow will be rainy between 70-90f. thank you.",you're welcome.
"please give me the address and directions to my friend's house within 5 miles of here, avoiding all heavy traffic.","jacks house is at 864 almanor ln, jacks_house_distance away. setting navigation now."
is it snowing next week what city would you like to know if it will be snowing in? compton.,it will not snow in compton next week.
"what is the date and time for tennis? you have a tennis activity on tennis_activity_date at 7pm with mother, and on the 19th at 5pm with father. thank you.",you are welcome!
"please give me an address and directions via the fastest route to a coffee or tea place around me.  coupa is Coupa_distance away from here in moderate traffic. the address is 394 van ness ave thank you car, let's go there!",you're welcome!
what is the forecast for this week what city are you seeking information for? san francisco. any particular details you are interested in? will it be raining? it will only rain on san_francisco_sunday in san francisco next week. thank you.,you are welcome.
"get the address to my home that is within 3 miles and hurry. your home is home_distance away, i sent its position on your screen, drive carefully! what is the address?",the address is home_address
what's the forecast for today what city shall i look up forecast information for? will it be cloudy in san mateo today? it will not be cloudy in san mateo today. thanks.,you're welcome!
will it rain anytime in the next week where would you like me to check to see if it will be raining during the week? check compton for me. it will rain on compton_thursday in compton. thanks.,you are welcome.
"what's the weather like today for what city can i give you today's weather information? fresno, it is warm there today?",today in fresno the low is 50f and high is 60f
"i need to find a grocery store. sigona farmers market	is the only grocery store. what is the address? Sigona_Farmers_Market_address, i sent its position on your screen sounds great. thanks.",you are welcome.
is it going to rain in the next 7 days what city would you like the forecast for? danville,"yes, rain is predicted in danville today."
is it snowing next week,what city would you like me to check to see if it's snowing?
"i need you to schedule a reminder to take my medicine at 7 pm. mark it on the 1st, with ana. please.  okay, setting a reminder to take medicine on the 1st at 7pm with ana. thanks for the assistance.","it is my pleasure, goodbye."
set a reminder for today's optometrist appointment at 3 with my mom setting a reminder for today's optometrist appointment at 3 with your mom great thanks.,you are welcome
what's the route to my friends house within 4 miles? toms house is toms_house_distance away but has a road block nearby on the route. do you want the address? yes please.,"580 van ness ave, there is a toms_house_traffic_info but you should be able to reach it fast anyway with the route i sent to your screen"
is it raining next week where would you like me to check for rain? carson.,it will be raining on tuesday and drizzling wednesday and carson_thursday in carson.
"where is there a hospital around me? we're Stanford_Express_Care_distance away from stanford express care: do you want me to set the gps to go there? ok, please give me the address and direct me there via a quick route.",the address is Stanford_Express_Care_address; setting navigation now.
"take me to the nearest starbucks i am unable to locate starbucks. however there are two coffee or tea place nearby, cafe venetia and philz what is the address of philz? philz is at 583 alester ave. which of the two are closest?","cafe venetia is the closest, it's Cafe_Venetia_distance away with no traffic on the route. set the gps to to there?"
which days will be cloudy this week what city shall i check the forecast for cloudiness? danville. the forecast states it will be cloudy on danville_saturday in danville. thank you.,anytime!
find me a gas station i could get to the quickest.,i only have one gas station listed but there is Valero_traffic_info on route. would you like to know more?
will there be rain in the forecast for cleveland for the next 7 days? cleveland is forecast to be raining and storming most of the week with only one day being hot. the temperatures are expected to be highs in the 90s and lows in the 50s.  thank you so much.,"you're welcome, have a great day."
is the weather cloudy right now what location do you want the weather for? alameda.,it is not cloudy in alameda right now.
will it be foggy in redwood city on redwood_city_wednesday?,it should not be foggy on redwood_city_wednesday in redwood city
"what is the weather next week what city are you wanting to know the weather for? mountain view please. in mountain view, it will be 30-40f monday, 80-100f tuesday, 90-100f wednesday, 90-100f thursday, 70-80f friday, 90-100f saturday, and 70-80f mountain_view_sunday. will it be hot any of the days?",the only day of the week it will be hot is on mountain_view_monday with a high of high of 40f.
"is it snowing next week in which city do you want to know if it will snow? i'm in grand rapids, find out if there will be snow this week.  the only snow predicted in grand rapids this week is the blizzard on grand_rapids_sunday. okay, thanks",you're welcome
"update me on the weekly weather forecast for this week what location are you interested in? menlo park thanks in menlo park, it will be the overcast on monday, hail on tuesday, warm on wednesday, clear on thursday, hail on friday, windy on saturday, and misty on menlo_park_sunday. thank you",you're welcome.
what is the weather like right now where are you wanting to know the weather for? i want to know if it is humid in san jose now.,it is snowy in san jose right now.
what day is my meeting?  your meeting is meeting_date at 7 pm.  who is attending? you are attending the meeting with meeting_party.  thank you!,"you're welcome. don't forget it's in meeting_room, and you will be discussing dress code!"
please give me the address and directions via a route with The_Clement_Hotel_traffic_info to a rest stop within 2 miles.,there is The_Clement_Hotel_traffic_info on the route to the clement hotel. it is located at 657 ames ave
"i'm kind of hungry, locate a pizza shop. there is a pizza chicago Pizza_Chicago_distance away. what is the address? pizza chicago	is at Pizza_Chicago_address. thanks!",you're welcome.
when is taking medicine scheduled and who is attending? you have two reminders set for taking medicine; one on taking_medicine_date at 3 pm with mother and one on the 7th at 4 pm with aunt. thanks!,you are welcome sir.
"is it going to snow today where are you wanting to know if it's going to snow? what city? i need to know this for redwood city, today please.  no snow is scheduled for redwood city for today. okay great, thanks for looking!",you're welcome.
"give me the weekly weather forecast please tell me what city you would like the weather forecast for? menlo park is where i need to know about.  the weather in menlo park is going to be mostly rain with the highs in the 70s and lows in the 20s.  will it be dry any day? it will only be windy on menlo_park_friday, all other days have rain or drizzle. okay perfect, thanks!",no problem! have a great day.
what's the forecast for today what city do you want the weather for? please find out if it will be windy in seattle today.,it will not be windy in seattle today.
"find me the closest fast food place that serves chinese the nearest chinese restaurant is mandarin roots at 271 springer street, 4 miles away.  i need a pizza restaurant please not chinese, i'm sorry.","the closest pizza is dominos, would you like their information?"
"show directions for the nearest grocery store the nearest grocery store is at Whole_Foods_addressreet. perfect, give me the address.",the address of whole foods is Whole_Foods_address.  would you like me to set the gps?
what time is my tennis activity and who will be attending it?,your tennis activity is scheduled for monday at 6 pm with mother and another on tennis_activity_date at 7 pm with martha.
when am i supposed to swim tomorrow,you are scheduled for swimming activity tomorrow swimming_activity_date at 7pm.
will there be frost in durham next week?,there won't be frost in durham during the next week
"schedule a optometrist appointment with tom today at 7pm. no problem, scheduling a optometrist appointment with tom for 7pm. do you have a specific date in mind? yes, today.  setting reminder for today at 7 pm for optometrist appointment with tom.  thanks.",you're welcome
take me to a fast food restaurant pizza chicago and chef chu's (chinese) are  located Pizza_Chicago_distance away. would you like directions to either of those? give me the pizza chicago directions please.,i will display the directions to pizza chicago for you now.
you tell me if the forecast for the next week calls for it to be above 86 degrees on any day for which city  would you like to know those specific details for?  i need to know if it will be windy in compton this week.,i am not seeing any weather predictions showing that it will be windy in compton this week.
which days are rain forecasted what city are you interested in? will it rain in cleveland on cleveland_saturday?,it will not rain in cleveland on cleveland_saturday.
set a reminder for doctor's appointment reminder for event doctor's appointment set did you get the time or date?,please state date and time for doctor's appointment
what's the weather today,in what city?
is it going to rain at all this upcoming week what city would you like to know if it is going to rain in? what city would you like to know if it is going to rain in?,in which city do you want to know if it's going to rain?
"car i need to get to a rest stop, please pick something with a quick route within 2 miles from here the only rest stop is Hotel_Keen_distance away. mmm, patience.. please send me a quick route to get there, thank you! okay, sending you the info for hotel keen at Hotel_Keen_address thanks for all your help.",you are welcome
where can i find a hospital?,one hospital is located locally at 214 el camino real. there is a car collision nearby. do you still want to go?
what is the weather like today and tomorrow,what city do you want to know the weather for?
"what time is dinner and who is coming? you have 3 dinners scheduled, one on the 20th, 13th, and dinner_date. the one on dinner_date. dinner on the 20th is at dinner_time with your mother. thanks for your help.",you're welcome
"where's the nearest place to get lunch there is a panda express Panda_Express_distance away on 842 arrowhead way could you please show me a quick route to get there? i have sent the route to your screen. okay, will there be any traffic? yes, there is currently Panda_Express_traffic_info on the route to panda express is there a way around the traffic?","i'm afraid not, but i can set navigation for the quickest route available."
"where's the nearest place to get a hot cup of tea the nearest is coupa, Coupa_distance away, at 394 van ness ave. would you like directions there? please pick a route with no traffic for me and send all the directions on my map! ok, heading to coupa thank you car!",you're very welcome!
"i have to go grocery shopping can you give me directions to the nearest grocery store the closest grocery store is Sigona_Farmers_Market_distance away. would you like the name and address of it? yes and please tell me if there is any traffic let's go at sigona farmers market, it's Sigona_Farmers_Market_distance away at 638 amherst st and, in this moment, there is no traffic thanks a lot.",you're very welcome. have a great day.
find out if it is misty in seattle today.,"yes, it is misty in seattle today"
what's the weather forecast for today and tomorrow what city are you interested in knowing the forecast for? i want to know if it's going to be humid in redwood city.,it's going to be hot on redwood_city_wednesday with highs near 100.
can you find out the date and parties attending for my tennis activity?  your brother will be attending your tennis activity on tennis_activity_date. thank you,no problem
"show me the directions to starbucks i'm sorry i do not have a listing for starbucks. i have alternate coffee shops available, would you be interested in learning more about them? okay, find the closet coffee or tea place, and find the quick way there please. the closest coffee shop is philz, would you like directions? yes please.",436 alger dr. no problem.
please confirm the address and give me directions via a route with no traffic to home.,the only route to home at 56 cadwell street has a home_traffic_info. shall i proceed?
"what are the directions to the mall we are Topanga_Mall_distance away from topanga mall and from midtown shopping center: do you have any preference? which ever has less traffic.  then let's go at topanga mall, i sent its position and the route to reach on your screen ok can you give me the address? thanks.  topanga mall is located at Topanga_Mall_address thank you for directions via a quick route.",i will find a quick route to topanga mall for you.
"give me the 7 day weather forecast what city do you want the weather for? san mateo. it will be warm in the beginning of the week and turn to rain and snow in san mateo next week.  it will be 30-40f monday, 70-80f tuesday, 60-70f wednesday, 30-40f thursday, 90-100f friday, 90-100f saturday, and 40-60f san_mateo_sunday. will it be windy at all next week in san mateo?",it will not be windy in san mateo next week.
"get me directions to the nearest shopping mall we're Stanford_Shopping_Center_distance away from stanford shopping center but there is a road block nearby i wish we could avoid the traffic but i guess this will do. what's the address? the address is Stanford_Shopping_Center_address, i sent on your screen the route to reach there ok, thank you.",you're welcome; drive safely.
"what time is my tennis activity and who is attending? you have two tennis activities scheduled on different dates. both are at 5pm with your tennis_activity_party. would you like to know the dates? yes, that would be helpful.",one is on monday and one is on tennis_activity_date.
"im heading home, what is the address and find me the quickest route with no traffic the quickest route home is home_distance away at 56 cadwell street.  sounds great, how's the traffic?",there is home_traffic_info noted on the route.
give me directions to the nearest starbucks there is no starbucks nearby. any other place for coffee? coupa is nearby for coffee. can you get me the address?,"the address is Coupa_address, i sent it on your screen"
set a reminder for yoga activity at 5 pm on thursday with mother.  setting reminder for yoga activity at 5 pm thursday with mother.  thank you!,you're welcome
give me directions to the nearest grocery store,we're Trader_Joes_distance away from trader joes and 2 miles away from whole foods: which one do you prefer?
is it gonna drizzle in durham during the week?,there is no drizzle in the forecast but a chance of rain on durham_sunday in durham.
what time is my lab appointment and what parties are attending?,"your lab appointment is on saturday at 4pm and lab_appointment_date at 6pm, martha is attending on saturday, and ana is attending on lab_appointment_date."
what is the forecast in my city what is your city? i am in compton.,what would you like to know about the weather in compton?
"what is the address of  my friend's house? i have two friend listed. which address would you like? pick the quickest one please and avoid all heavy traffic on our route jills house is the quickest to get to since it is 1 mile away and has only jills_house_traffic_info on route. setting gps now. what's the address?  347 alta mesa is the address of jill's house. okay, perfect. let's navigate there!","setting navigation, have a great day."
directions to the nearest grocery store,"the nearest grocery store is whole foods at Whole_Foods_address, 1 mile away. would you like directions there?"
find me a hotel nearby,there are 2 hotels nearby. the clement hotel and four seasons
i'm not feeling well show me the fastest route to the nearest hospital we are Stanford_Childrens_Health_distance away from stanford childrens health: set the gps to go there? yes and pick the fastes route please,yes and pick the fastes route please
give me directions to a place to sleep,"there are the four seasons hotel Four_Seasons_distance away, and the westin 5 miles from here. which one do you prefer?"
get me the weather report for this week,what city would you like the weather report for?
what time is my tennis activity and who is attending?,you have two tennis activities scheduled on different dates. both are at 5pm with your tennis_activity_party. would you like to know the dates?
"i need to set a reminder for a lab appointment.  what day and time is your lab appointment? on thursday at 2 pm with tom scheduling a reminder of your lab appointment on thursday at 2 pm, with tom okay wonderful. thank you!",you're welcome!
"show me the weather for the next 7 days what city can i give you the 7 day forecast for? durham, will there be clear skies there during the next seven days? there will be clear skies in durham on thursday and durham_friday only. would you like the rest of the forecast? thank you.",you are welcome
is it gonna be windy in alameda on alameda_monday? it will not be windy on alameda_monday in alameda thanks.,no problem
"can you give me directions to the nearest hotel the nearest one is comfort inn Comfort_Inn_distance away. there is also a road block nearby ok, please give me the address and directions via a quick route.",setting navigation to the comfort inn at Comfort_Inn_address now.
who is coming to my doctor appointment with me? you have two doctor appointments scheduled. on doctor_appointment_date jon will be attending it with you and on the 8th your aunt will be attending. at what time are these appointments? the doctor appointment on doctor_appointment_date is at 5pm and the one on the 8th is at 1pm. great!,have a great day.
"car please bring me to my friends house, it should be near me",i have a location for jack's house. is that the destination you are looking for?
give me the weather for next week what location are you wanting to know the weather for? will it be foggy in new york next week?,it will not be foggy in new york next week.
"hi, can i set a scedule about football at 3 pm next week with alex?",setting a reminder for football next week at 3 pm with alex.
is it supposed to rain this week,what city are you inquiring about?
"i feel like some coffee where's the nearest place we're Peets_Coffee_distance away from peets coffee	 are they any closer options? no peets coffee is the only option.  then let's go there, please pick a quick route for me peets is Peets_Coffee_distance away in moderate traffic; setting navigation to 9981 archuleta ave now. thank you.",you are welcome.
is it snowy in fresno which days are you interested in? fresno_monday's forecast in fresno.,it will not snow in fresno on fresno_monday.
when is my next yoga class your next yoga activity is on yoga_activity_date at 7 pm. thank you!,glad to help
what will the weather be like in the city what city are you wanting the weather for? will it be foggy in exeter over the next 7 days?,the forecast for exeter calls for clouds on exeter_saturday.
what's the quickest route to the hospital? there are 2 available hospitals and both are Stanford_Express_Care_distance away with heavy traffic on their direction. which one do you prefer between palo alto medical foundation and stanford express care? i would rather go to stanford express please. what's the address?,stanford express care is located at Stanford_Express_Care_address
is there a nearby rest stop?,hotel keen and the westin are both nearby.
"find me the closest coffee shop on the map there are palo alto cafe and starbucks Starbucks_distance away: which one do you prefer? which one is it the best location with the quickest route? palo alto cafe and starbucks both have Starbucks_traffic_info and are the same distance. which do you prefer? let's go at starbucks, thank you car!","you're welcome, all the info are on your screen!"
what is the date location and time of my next conference,"hello, we need to pick him up by conference_time and bring him to the conference."
what is the lowest temperature in compton on compton_wednesday?,the lows forecast for compton_wednesday in compton is the 40s.
tomorrow i'm going to go in inglewood: will i find clear skies there? it will be overcast in inglewood tomorrow. thanks.,you're welcome.
"get me the address to the hospital asap. the hospital palo alto medical foundation is located at Palo_Alto_Medical_Foundation_address. thanks! do you want me to set the gps? no i am good, thanks.","you're welcome, have a great day."
